year,stage,home_team,away_team,home_score,away_score,result,total_goals,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_form,away_form,form_diff,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,home_h2h_winrate,away_h2h_winrate,home_wc_exp,away_wc_exp,exp_diff,home_is_host,away_is_host,home_rest_days,away_rest_days
1954,Quarter-finals,Uruguay,England,4,2,2,6,1639.0,1500.9,138.0,11,3,-8,0.9364,0.6667,0.2697,3.9,0.8,1.4,1.0,0.5,0.5,14,16,-2,0,0,7.0,6.0
1954,Quarter-finals,Austria,Switzerland,7,5,2,12,1524.0,1503.2,20.8,24,17,-7,0.6429,0.4545,0.1883,1.833,1.0,1.8,1.9,0.5,0.5,7,12,-5,0,0,7.0,6.0
1954,Semi-finals,Hungary,Uruguay,2,2,1,4,1562.1,1651.4,-89.3,60,11,-49,0.7333,0.9455,-0.2121,3.889,1.556,3.9,0.8,0.5,0.5,9,14,-5,0,0,3.0,4.0
1954,Semi-finals,Germany,Austria,6,1,2,7,1573.0,1542.8,30.2,9,24,15,0.7444,0.7321,0.0123,2.889,1.889,2.571,1.571,1.0,0.0,20,7,13,0,0,3.0,4.0
1954,Third-place match,Uruguay,Austria,1,3,0,4,1646.4,1524.5,121.8,11,24,13,0.8636,0.5694,0.2942,4.0,1.0,2.375,2.125,0.5,0.5,14,7,7,0,0,3.0,3.0
1958,Final,Sweden,Brazil,2,5,0,7,1500.8,1549.3,-48.6,28,4,-24,0.4636,0.6273,-0.1636,2.6,2.8,3.1,1.3,0.0,1.0,12,22,-10,0,0,2926.0,1463.0
1958,Group 1 Play-off,Northern Ireland,Czechia,1,1,1,2,1500.0,1496.1,3.9,60,38,-22,0.5,0.3333,0.1667,1.2,1.2,1.25,1.75,0.5,0.5,3,9,-6,0,0,14.0,1459.0
1958,Group 3 Play-off,Wales,Hungary,2,1,2,3,1500.0,1567.1,-67.1,60,60,0,0.5,0.6909,-0.1909,1.2,1.2,3.7,1.6,0.5,0.5,2,9,-7,0,0,14.0,1448.0
1958,Group 4 Play-off,Russia,England,1,0,2,1,1500.0,1488.5,11.5,60,3,-57,0.5,0.4762,0.0238,1.2,1.2,1.5,1.5,0.5,0.5,11,16,-5,0,0,14.0,1452.0
1958,Match for third place,Germany,France,3,6,0,9,1591.3,1480.9,110.4,9,2,-7,0.7909,0.4444,0.3465,3.2,1.8,1.5,1.375,0.5,0.5,20,16,4,0,0,1459.0,1470.0
1958,Matchday 1,Brazil,Austria,3,0,2,3,1566.6,1551.3,15.3,4,24,20,0.7,0.6556,0.0444,3.5,1.3,2.444,2.0,0.5,0.5,22,7,15,0,0,0.0,1436.0
1958,Matchday 1,Hungary,Wales,1,1,1,2,1543.3,1523.8,19.5,60,60,0,0.5727,1.0,-0.4273,3.4,1.6,2.0,1.0,0.0,1.0,9,2,7,0,0,0.0,0.0
1958,Matchday 1,Sweden,Mexico,3,0,2,3,1483.6,1371.7,111.9,28,15,-13,0.3818,0.0,0.3818,2.5,3.1,1.0,3.875,0.5,0.5,12,17,-5,0,1,0.0,1450.0
1958,Matchday 1,Serbia,Scotland,1,1,1,2,1534.5,1467.0,67.5,60,34,-26,0.5556,0.0,0.5556,1.778,1.444,0.0,4.0,0.5,0.5,12,8,4,0,0,1442.0,1450.0
1958,Matchday 1,France,Paraguay,7,3,2,10,1507.0,1486.0,21.0,2,42,40,0.5556,0.4,0.1556,2.0,1.556,0.75,1.75,0.5,0.5,16,8,8,0,0,0.0,2901.0
1958,Matchday 1,Germany,Argentina,3,1,2,4,1565.1,1535.3,29.8,9,1,-8,0.6545,0.6667,-0.0121,3.0,2.2,3.333,2.0,0.5,0.5,20,18,2,0,0,0.0,8778.0
1958,Matchday 2,Russia,Austria,2,0,2,2,1519.3,1532.2,-12.8,60,24,-36,1.0,0.5364,0.4636,1.0,0.0,2.2,2.1,0.5,0.5,11,7,4,0,0,0.0,3.0
1958,Matchday 2,Brazil,England,0,0,1,0,1585.7,1469.1,116.5,4,3,-1,0.7545,0.3571,0.3974,3.7,1.1,1.286,1.429,0.5,0.5,22,16,6,0,0,3.0,0.0
1958,Matchday 2,Sweden,Hungary,2,1,2,3,1497.3,1542.2,-44.8,28,60,32,0.5,0.5636,-0.0636,2.7,2.9,3.4,1.5,0.0,1.0,12,9,3,0,0,4.0,4.0
1958,Matchday 2,Mexico,Wales,1,1,1,2,1357.9,1524.9,-167.0,15,60,45,0.0,0.6667,-0.6667,0.889,3.778,1.5,1.0,0.5,0.5,17,2,15,1,0,3.0,3.0
1958,Matchday 2,Paraguay,Scotland,3,2,2,5,1467.2,1470.9,-3.6,42,34,-8,0.2667,0.25,0.0167,1.2,2.8,0.333,3.0,0.5,0.5,8,8,0,0,0,3.0,3.0
1958,Matchday 2,Serbia,France,3,2,2,5,1530.6,1525.8,4.8,60,2,-58,0.5455,0.6364,-0.0909,1.7,1.4,2.5,1.7,1.0,0.0,12,16,-4,0,0,3.0,3.0
1958,Matchday 2,Germany,Czechia,2,2,1,4,1583.4,1496.3,87.1,9,38,29,0.7182,0.3667,0.3515,3.1,2.2,1.222,1.667,0.0,1.0,20,9,11,0,0,3.0,0.0
1958,Matchday 2,Argentina,Northern Ireland,3,1,2,4,1517.1,1499.8,17.3,1,60,59,0.5,0.5,0.0,3.0,2.143,1.0,1.0,0.5,0.5,18,3,15,0,0,3.0,0.0
1958,Matchday 3,Brazil,Russia,2,0,2,2,1579.2,1540.1,39.1,4,60,56,0.7,1.0,-0.3,3.1,1.0,1.5,0.0,0.5,0.5,22,11,11,0,0,4.0,4.0
1958,Matchday 3,England,Austria,2,2,1,4,1475.6,1511.4,-35.8,3,24,21,0.3889,0.4364,-0.0475,1.125,1.25,2.1,2.2,0.5,0.5,16,7,9,0,0,4.0,4.0
1958,Matchday 3,Hungary,Mexico,4,0,2,4,1519.6,1366.9,152.8,60,15,-45,0.4545,0.0909,0.3636,3.3,1.3,0.9,3.5,0.5,0.5,9,17,-8,0,1,3.0,4.0
1958,Matchday 3,Sweden,Wales,0,0,1,0,1519.9,1516.0,3.9,28,60,32,0.6,0.5833,0.0167,2.7,2.6,1.333,1.0,0.5,0.5,12,2,10,0,0,3.0,4.0
1958,Matchday 3,Paraguay,Serbia,3,3,1,6,1487.4,1550.4,-62.9,42,60,18,0.4762,0.6182,-0.142,1.5,2.667,1.8,1.5,0.5,0.5,8,12,-4,0,0,4.0,4.0
1958,Matchday 3,France,Scotland,2,1,2,3,1506.1,1450.6,55.4,2,34,32,0.5364,0.15,0.3864,2.3,1.9,0.75,3.0,0.5,0.5,16,8,8,0,0,4.0,4.0
